x1;x1_dot;x2;x2_dot
0.0;0.0;0.0;0.0
1.364248258465673e-05;0.00040761718113020137;0.0009862745228121999;0.019589109380246883
0.00010759351414891917;0.0015977709962525727;0.0038910898621977766;0.0383758764864709
0.00035764199420656534;0.003521236537121208;0.00863567282016389;0.056389355897008664
0.0008346445925881123;0.006128713031784347;0.015144143526823105;0.07365836570999074
0.0016045482280750358;0.009371073717142079;0.02334347724770306;0.0902113412622755
0.0027283995663422785;0.013199566801214238;0.03316347278560483;0.10607621823484317
0.00426239699225079;0.017566015751335835;0.04453669383711202;0.12128032041719533
0.006257958008072999;0.0224230379229454;0.05739839735983578;0.13585023896426204
0.008761807247997886;0.027724131421272523;0.0716864634178266;0.14981179282054854
0.011816071968640507;0.03342385537690716;0.0873413096593817;0.1631899345779885
0.015458391629677267;0.039477945405773054;0.10430580436416241;0.1760086967607112
0.019722041181667194;0.04584341921069456;0.12252517206312437;0.18829114578826814
0.024636067557282856;0.052478664228682484;0.14194689273052208;0.2000593483615523
0.030225427971545836;0.05934351604970303;0.16252060213585043;0.2113343434822431
0.036511135150670296;0.06639932777141473;0.18419798883640517;0.22213612077567751
0.04351041562999448;0.07360901198072578;0.20693268773727228;0.23248361664320397
0.0512368758454202;0.08093707227170424;0.23068016995675905;0.2423947176730999
0.05970064331043474;0.08834965613781152;0.25539764790113784;0.2518862478061348
0.06890854766336886;0.09581455348491984;0.2810439616555229;0.2609739931031666
0.07886427736228957;0.10330121672127145;0.30757948002225954;0.2696727102227471
0.08956855090363461;0.11078075652364856;0.3349659960039821;0.27799615117725346
0.1010192807347455;0.11822593814526146;0.363166628310661;0.2859570865908738
0.11321173769666881;0.12561116809707423;0.3921457250840467;0.29356733458067874
0.12613871467018134;0.13291247435024015;0.4218687700718138;0.3008377932003203
0.1397906870239135;0.14010748315664703;0.4523022923463701;0.3077784742408251
0.15415597184667196;0.14717538827189902;0.48341377916433326;0.3143985412108159
0.16922088110949146;0.1540969191297974;0.5151715941146037;0.32070634687118477
0.18496987909981094;0.16085429687712086;0.5475448951043251;0.32670947844575987
0.20138572150658182;0.1674312030547774;0.5805035639038999;0.33241479243498256
0.21844960386114573;0.17381272970917977;0.6140181331832995;0.3378284616815407
0.2361413009329289;0.17998533336389438;0.6480597197982396;0.34295601863533276
0.25443929692583184;0.18593679256825238;0.6825999645628166;0.34780239496340304
0.2733209206550567;0.1916561497907629;0.7176109724295534;0.352371971033955
0.29276246422327235;0.19713367051795364;0.7530652609634462;0.35666861257303323
0.31273930632862285;0.2023607843869823;0.7889357103754513;0.36069571850720655
0.3332260246958679;0.20733003721651552;0.8251955189317196;0.3644562605755714
0.3541965046004743;0.21203503927891026;0.8618181626511348;0.3679528244248434
0.3756240441297802;0.21647040967619013;0.8987773587487058;0.37118765236877255
0.39748145117716416;0.22063173066751182;0.9360470323879612;0.37416267888351096
0.4197411378993653;0.22451549041797478;0.9736012892969839;0.37687957240442227
0.4423752087396871;0.22811903704818862;1.0114143894800371;0.3793397693635481
0.4653555435519274;0.2314405269730694;1.049460726868963;0.381544510694034
0.4886538762539766;0.23447887596147166;1.0877148113847614;0.38349487593178827
0.5122418688550984;0.2372337141096085;1.1261512531138105;0.38519181418957266
0.5360911791108248;0.23970533578129616;1.1647447535594824;0.3866361769578387
0.5601735267695108;0.24189465876674762;1.2034700939916936;0.3878287452120113
0.5844607519236653;0.2438031785440175;1.2423021322778471;0.38877025800366977
0.6089248710565507;0.24543292636346115;1.2812157996498983;0.3894614383754667
0.6335381302157682;0.24678643035495962;1.3201860982445361;0.3899030169719927
0.6582730496591644;0.24786667460127604;1.3591881066738598;0.39009575534312424
0.6831024709803026;0.2486770637790204;1.3981969803111045;0.39004046638182754
0.7079995949573288;0.2492213866355373;1.437187960015542;0.38973803380269073
0.7329380185400661;0.24950378202088075;1.476136379864995;0.38918942995367467
0.7578917703259335;0.2495287072049309;1.5150176746177288;0.3883957320054924
0.7828353371647337;0.24930090652013648;1.5538073946924928;0.3873581363637301
0.8077436952890429;0.24882538265337079;1.5924812149395051;0.38607797232979535
0.8325923321874537;0.24810736912812767;1.6310149509860832;0.38455671339733993
0.8573572685665926;0.24715230432167437;1.6693845740380535;0.3827959876705405
0.8820150798647182;0.2459658070011945;1.7075662246594858;0.3807975873166655
0.9065429094133478;0.2445536537660709;1.7455362330117095;0.37856347537537355
0.9309184868578095;0.2429217570409626;1.7832711329124993;0.37609579324048076
0.9551201383633399;0.24107614550712356;1.8207476820303325;0.3733968651944448
0.9791267973944568;0.23902294534291593;1.8579428803236198;0.3704692026067196
1.0029180157357476;0.2367683623313784;1.894833987024079;0.3673155076998529
1.026473967242763;0.23431866668336415;1.9313985427483784;0.3639386743598853
1.0497754568096;0.2316801770429334;1.967614385959146;0.36034179048398696
1.0728039224791586;0.22885924746376274;2.003459674062218;0.35652813727952615
1.09554143886576;0.22586225445827507;2.038912902304549;0.3525011888387216
1.1179707205478693;0.22269558465475028;2.073952921573549;0.3482646114031987
1.1400751183663445;0.21936562596313505;2.1085589608596185;0.343822259179444
1.1618386194754935;0.21587875767903972;2.1427106455809053;0.3391781716045979
1.1832458515095678;0.21224133903530895;2.176388011620959;0.33433657246506127
1.2042820769441198;0.20845970298143562;2.2095715259850532;0.3293018639364091
1.2249331909095504;0.2045401488411866;2.2422421036439992;0.3240786220706064
1.2451857158973398;0.20048893593013717;2.2743811261647218;0.31867159123467376
1.2650267943324824;0.1963122783396322;2.3059704610839034;0.3130856775147877
1.2844441908456754;0.19201633805573362;2.336992471542443;0.30732594494950255
