x1;x2;fitness;fitness_call_counter;Minimum globalne
0,025557751686383967;0,024323469908092088;0,0395155301267649;17550;NIE
9,158800288933122e-05;0,0007215068005330671;1,684338664809104e-05;17550;TAK
0,026647838768137033;0,004544468620766184;0,02318932273154717;17550;NIE
0,0029016845543085035;0,013198232088288742;0,005810040009590622;17550;TAK
0,00705506200055761;0,01706193365455322;0,010840766463330986;17550;NIE
0,011070769941181724;0,003432536300685962;0,004275455751217905;17550;TAK
0,01083258005193699;0,007662081246226471;0,005603218184853542;17550;TAK
0,0018380039060756914;0,013488749318767312;0,005895953307088586;17550;TAK
0,013282432471240724;0,021784872345024908;0,02068898719468537;17550;NIE
0,015784324913726167;0,0007242195569628906;0,007940265224253285;17550;TAK
0,012079175886794635;0,0009421792723687261;0,004670921777122583;17550;TAK
0,0021702123288133146;0,020994375471094284;0,014154223682906864;17550;NIE
0,012278571791355941;0,02622710981921328;0,026625404007118547;17550;NIE
0,008093979471674118;0,0032432053328479427;0,00242031658662345;17550;TAK
0,01666888797532562;0,0026525524762296415;0,009059304959742498;17550;TAK
0,03857390120425763;0,013439669205260962;0,052776370166858655;17550;NIE
0,005896655570290732;0,017448638993774135;0,010786915919692497;17550;NIE
0,022974366153946546;0,015988029968851958;0,024892179085634458;17550;NIE
0,00611352225364592;0,00024763857748955065;0,001191850150896956;17550;TAK
0,008006785257365756;0,029254257924812066;0,02917600542755272;17550;NIE
0,012002681740740817;0,015736340778675584;0,012459603680116782;17550;NIE
0,012532381472097898;0,028937530587698657;0,031550619429322246;17550;NIE
0,0010258964075267052;0,008361582155914649;0,002259040996103412;17550;TAK
0,00026553110354299303;0,02348295997238281;0,017513622639842907;17550;NIE
0,0018306753993687641;0,016983229596624017;0,009277871657788594;17550;TAK
0,0007739466773911685;0,030284689744953464;0,02909071736493618;17550;NIE
0,004733122823429636;0,018023739977195974;0,01104075701170082;17550;NIE
0,003944917925410185;0,008682534048545465;0,00289509834093149;17550;TAK
0,008194557441165706;0,012279882857016977;0,006935639027361606;17550;TAK
0,0002619327925064141;0,011897410771478767;0,004506265366785556;17550;TAK
0,001234673241447104;0,009198259951917365;0,0027415371579242453;17550;TAK
0,012681149112437673;0,002525188832578018;0,005319584976498648;17550;TAK
0,0065259722190977865;0,02938784051945975;0,02873841957833223;17550;NIE
0,010617701695061488;0,03381000867566708;0,03978079397341716;17550;NIE
0,010899080666287864;0,026452190291649247;0,02598361391095949;17550;NIE
0,020367705979247863;0,0376657089501925;0,058039375385154246;17550;NIE
0,023023640570892345;0,024333430339698925;0,035633772755330195;17550;NIE
0,013801468281391616;9,871102951064525e-05;0,006059938908700158;17550;TAK
0,0064741933474664615;0,015083584883539447;0,008570837981503932;17550;TAK
0,0021796960847546565;0,02017624556876274;0,01308751025937438;17550;NIE
