x1;x2;fitness;fitness_call_counter;Minimum globalne
0,007541823791471947;0,007675259169202753;0,0036859405738969286;17550;TAK
0,0065183811034781325;0,006438393481369875;0,0026723721394135147;17550;TAK
0,0017439640993586192;0,0002543587087480148;9,890485556351969e-05;17550;TAK
0,006665524536199174;0,004292326980595451;0,002001039951531114;17550;TAK
0,004735675764382941;0,01438671453517748;0,007297936957445295;17550;TAK
0,002186840585922223;0,0077102790068144245;0,0020447022560197148;17550;TAK
0,007661282523300117;0,022181352496154494;0,0174970289449079;17550;NIE
0,00105222899383417;0,0049457497994974675;0,0008140424640981081;17550;TAK
0,0036913641298119693;0,004006157704472213;0,0009448712473574261;17550;TAK
0,0002568577468310407;0,001421626849756108;6,645463979437771e-05;17550;TAK
0,013634409635866485;0,00550482684226794;0,006878736877236058;17550;TAK
0,007968603148806652;0,002975555559008969;0,002303236006478304;17550;TAK
0,008876670602479209;0,000954170024375034;0,002537046210516536;17550;TAK
0,005098971126211382;0,009497228730370288;0,0036986033494514903;17550;TAK
0,003977513117548792;0,0010413267713694774;0,0005382569376040092;17550;TAK
0,00045690013352039927;4,341398580243183e-05;6,707379990089635e-06;17550;TAK
0,0005288930294657934;0,0017600856099455608;0,0001075506700307649;17550;TAK
0,0005386043387098916;0,005262922666441239;0,0008911009514072088;17550;TAK
0,0011013324078766873;0,0038767823668158785;0,0005171619917554438;17550;TAK
0,0008141783140095393;0,00034928796888922253;2,4992748034247114e-05;17550;TAK
0,004887696570290312;0,001261624648646431;0,0008112969544142867;17550;TAK
0,0094616345799452;0,005265395013584362;0,0037320442237027684;17550;TAK
0,0007680273377888014;0,0007629921487138924;3,7320049938838196e-05;17550;TAK
0,0007248308216614152;0,00175099137340462;0,00011435609391163837;17550;TAK
0,0013037397928282735;0,0027375446152373417;0,00029274714198912477;17550;TAK
0,008333094755096693;0,007235921884233942;0,0038771884349102503;17550;TAK
0,0025232379438900887;0,0015829614544767834;0,00028251517582811303;17550;TAK
0,017780111047357106;0,00331425780302097;0,01040036293172486;17550;NIE
0,007051071795224351;0,00322789883275143;0,001914502411471286;17550;TAK
0,009975575635066791;0,0035852092957399107;0,0035764147704957505;17550;TAK
0,007588350145652956;0,0008472758615896137;0,0018559225837089244;17550;TAK
0,006325864043566831;0,0012445084439897114;0,0013232912182274958;17550;TAK
0,0023535954347982946;0,0018953004591644174;0,0002907654014838723;17550;TAK
6,097913887370687e-05;0,004997324133849235;0,0007952305411289551;17550;TAK
0,006503503775648789;0,000973772842524756;0,001376707395576382;17550;TAK
