Iteration,x1,x2,Best Fitness,Number of Function Calls
1,-1.3200354454196648,0.6773356894095686,4.218108459863352,100080
2,-1.8544145327198474,-1.6824653734297361,7.886537684267258,100080
3,-0.8895808984517934,0.8866177258978224,2.037517788775017,100080
4,0.12765321253795428,-1.9766092174403944,6.3683274541554145,100080
5,-0.19857747890805943,2.423556646041294,6.9189538359665175,100080
6,-0.3120813540644289,-3.000537351460158,11.867319202733698,100080
7,-2.9032252063498727,0.5172652765863348,11.990275087109614,100080
8,0.9020226776569812,-0.8209895142682752,1.805441037998187,100080
9,-2.878358323233068,-1.7007453513996045,13.291054347597235,100080
10,1.025770605752768,-3.5492391460903487,16.7719028308585,100080
11,3.6953125822904873,3.4163092677306803,28.186900616695397,100080
12,-1.5417915161136495,6.272098018896208,42.282552002215105,100080
13,-5.208272343198313,1.2577486361312284,32.60481692672468,100080
14,-1.6773667409171533,-0.3241148409841893,4.925197392021674,100080
15,-1.6040354820973257,-2.925565045958175,12.68423772587898,100080
16,-3.3423036755204243,0.9228931408395485,13.015677471805471,100080
17,-0.4895334112920756,-2.969491795277009,12.057629932240653,100080
18,0.14320719693594888,0.9451015229802843,2.064384649938272,100080
19,0.7680433465906861,-3.916379409986189,16.167272604985865,100080
20,1.1571117379203733,-0.36655555059286865,5.3827727105551215,100080
21,3.875240752008258,-0.329813027662413,17.42099805418745,100080
22,-1.3352826621861127,-1.192842789084144,6.6909572722770845,100080
23,0.6159343830300239,-1.38456906440675,4.292482549961835,100080
24,1.390754449097112,2.1612950546322267,8.977272502307102,100080
25,2.53909552811568,3.2396532826474007,17.530156576027984,100080
26,1.7500258235569202,1.7502733584697294,7.362852140612384,100080
27,-2.0989716211633174,2.1683873765710953,12.066122421035121,100080
28,-1.9778326022788753,-2.637126948972924,14.138622442058463,100080
29,-0.6620248782081716,-2.054877572167109,7.101241603543209,100080
30,1.0109337352643522,-5.324514798440353,32.0169474350395,100080
31,0.8739069312110758,-3.6416919850210516,16.136291578685906,100080
32,-2.050668977257918,0.9752862571910579,7.885397885057506,100080
