iter,x1,x2
-1,0.7031316244669341,-2.98835993212057
0,6.808200075246006,4.482666105699113
1,6.582991573795958,7.123105142524952
2,-4.472296727542803,1.4763438498831674
3,-2.2072795496582436,5.613800637056934
4,-0.8322724383609323,5.621111880983078
5,0.39750856423819436,4.2429865708775205
6,0.5686758747021092,2.6109743848198512
7,1.7144270410684308,1.063435440026128
8,5.406761475684284,-0.9325920863301009
9,6.4251782529819055,-1.8123276589279695
10,6.104133061564491,-2.6013386757259336
11,5.036832626836738,-1.5652238430522243
12,3.8093622373770097,0.7811929190887306
13,1.888042548405279,2.0469199636284916
14,1.6033894410000322,2.4263446052700495
15,1.3189074711930926,2.6835982420087032
16,1.1610603423830401,2.8284809836862475
17,1.0857829151000848,2.922516575281496
18,1.0369160566992413,2.95851788360711
19,1.0205621597036139,2.9816074008752826
20,1.009581264648585,2.9895343526747724
21,1.005440216555938,2.994837386737369
22,1.0028118475861156,2.9971625092401926
23,1.0014535233714505,2.9984945263182246
24,1.000773235669519,2.999279641651987
25,1.0003506230893295,2.999616742708664
26,1.000190340028529,2.9998257716960386
27,1.000089703843873,2.9999036155938383
28,1.0000495863151104,2.9999525006472636
29,1.0000254246284486,2.999974396227162
30,1.0000130542482846,2.9999865495144244
31,1.0000069072058038,2.9999934928596166
32,1.000003207430911,2.9999965432721862
33,1.000001728671857,2.999998394072552
34,1.0000008269048402,2.9999991235612677
35,1.0000004494518415,2.999999564726495
36,1.000000230687855,2.9999997692863936
37,1.0000001170600248,2.9999998791853106
38,1.0000000617594902,2.999999941584813
39,1.000000029023734,2.999999968984301
40,1.000000015596206,2.999999985349406
41,1.0000000075687339,2.9999999920730627
42,1.0000000040592871,2.999999996025409
43,1.000000002091407,2.999999997925485
44,1.0000000010481356,2.999999998914176
45,1.0000000005524754,2.9999999994765796
