iter,x1,x2
-1,0.7031316244669341,-2.98835993212057
0,6.808200075246006,4.482666105699113
1,-1.5849990204893203,-2.872404473552219
2,7.154509509708461,6.656082752354937
3,-3.7407402060503756,-3.6395484752087803
4,8.322119944712924,8.879023090824862
5,-6.1082799702868,-5.2050435154764845
6,10.29850422761085,11.464957544061269
7,-8.986066725848628,-7.619560954796237
8,13.192007051619315,14.71054395702007
9,-12.680543343814476,-11.04645513655347
10,17.22069568764566,18.942613798256872
11,-17.549141241981104,-15.760429840471687
12,22.71979169286935,24.55936203810191
13,-24.041078043448195,-22.162872363284322
14,30.1648425620064,32.07197017368665
15,-32.74232299467401,-30.81216697714487
16,40.20817427495642,42.1549194758459
17,-44.430275786945984,-42.47043386235097
18,53.73665330531223,55.706972608871666
19,-60.14547111866847,-58.167730338342565
20,71.9498304051362,73.93368298985801
21,-81.28794875396267,-79.29973059467234
22,96.46689718188867,98.4559884560927
23,-109.73141329763308,-107.74232202342905
24,129.46365600051504,131.45274727471906
25,-148.00527865467447,-146.01618738047046
26,173.8528182131253,175.84889440663892
27,-199.49810380516428,-197.50202761165065
28,233.57387831034285,235.56995450385648
29,-268.7815184372463,-266.78544224373263
30,313.94235988678554,315.95240591891843
31,-362.0022515433826,-359.9922055112497
32,422.04097112240413,424.051017154537
33,-487.423462666849,-485.4134166347161
34,567.5787498575651,569.532916535221
35,-656.1791131871737,-654.1690671550408
36,763.2682492357694,765.2782952679023
37,-883.1610510724581,-881.2627637492791
38,1026.795284948965,1028.5818135631903
39,-1188.7093613523045,-1186.9228327380793
40,1381.2939097506007,1383.080438364826
41,-1599.9814103024999,-1598.64191652409
42,1858.7271144014796,1860.9606778515204
43,-2154.7516415494483,-2152.5180780994074
44,2499.7750689608056,2503.7967717541082
45,-2898.6176083463233,-2896.3840448962824
46,3363.4463717562157,3365.6799352062567
47,-3898.187501229623,-3895.9539377795822
48,4527.525084219596,4529.758647669636
49,-5253.597123422006,-5251.3635599719655
50,6097.511427603385,6099.744991053425
51,-7077.499253548959,-7075.265690098919
52,8214.668410025257,8216.901973475298
53,-9537.978989877087,-9535.745426427045
54,11061.386244497913,11063.619807947955
55,-12828.15538147865,-12854.532047520795
