x1,x2,iter_number,step
0.0,0.0,0,0.05
1.8940692492286593,2.1169009256085016,1,0.05
1.8940692463753872,2.1169009224195507,2,0.05
0.9843034988578074,2.9722475745026817,3,0.05
0.9867824481840608,2.969973883397247,4,0.05
1.0054194219841441,2.994748207139346,5,0.05
1.0053927777715637,2.9947161738045813,6,0.05
1.0000790637507901,2.9988304351868917,7,0.05
0.9999917591625729,2.998900513023831,8,0.05
1.000205999360627,2.9998206446694153,9,0.05
1.0002019451036641,2.9998125189164155,10,0.05
1.0001122388071155,2.9998356616047523,11,0.05
1.0000953775572152,2.9998420590705823,12,0.05
1.0000545698166792,2.9999652026075156,13,0.05
1.0000541684760493,2.9999558557375954,14,0.05
1.0000391351324225,2.9999537281942388,15,0.05
1.0000375929000984,2.9999536774301196,16,0.05
1.000010892000395,2.9999962274410206,17,0.05
1.0000121497892906,2.9999919748511252,18,0.05
1.000007966031659,2.9999909085576535,19,0.05
1.000008009633881,2.999990920735866,20,0.05
1.0000035974562698,2.999998524586069,21,0.05
1.0000039211723502,2.999997750963993,22,0.05
1.0000018530115704,2.9999977058627105,23,0.05
