x1,x2,iter_number,step
0.0,0.0,0,M.zk.
4.08,4.56,1,M.zk.
-1.113599999999999,-0.2687999999999997,2,M.zk.
4.5607679999999995,5.682816,3,M.zk.
-2.2876569599999996,-0.9549004799999992,4,M.zk.
5.454235852799999,6.947130777599999,5,M.zk.
-3.680092717055998,-2.0654925742079984,6,M.zk.
6.798891414650877,8.505987523215357,7,M.zk.
-5.445526305216917,-3.6681332627079133,8,M.zk.
8.690513193242982,10.521331905549822,9,M.zk.
-7.7585812679764246,-5.887159046623225,10,M.zk.
11.283388938353578,13.18566982658201,11,M.zk.
-10.834920821189442,-8.909187346135834,12,M.zk.
14.799804016528288,16.74336145756903,13,M.zk.
-14.953587802571924,-12.996484147380961,14,M.zk.
19.547342342000107,21.514741119945235,15,M.zk.
-20.483619943547446,-18.50839687230915,16,M.zk.
25.944784986126265,27.925954520267375,17,M.zk.
-27.91787333668193,-25.932184490734684,18,M.zk.
34.558471778441685,36.54759530136158,19,M.zk.
-37.91738584499545,-35.92565196757633,20,M.zk.
46.15210305787237,48.14582080471091,21,M.zk.
-51.370408584096936,-49.375183096499654,22,M.zk.
61.75425748945905,63.75062886003299,23,M.zk.
-69.47145520352349,-67.47421296188729,24,M.zk.
82.74953548411646,84.74743958776001,25,M.zk.
-93.8274491010729,-91.82904198230379,26,M.zk.
111.00137012322621,113.00015953349073,27,M.zk.
-126.60042717679634,-124.60134722499531,28,M.zk.
149.0173787713547,151.0166795347235,29,M.zk.
-170.69948810760548,-168.70001952744514,30,M.zk.
200.1719163678684,202.17151248879026,31,M.zk.
-230.03903526281232,-228.03934221091168,32,M.zk.
269.00557557503765,271.0053422944822,33,M.zk.
-309.88624371771044,-307.88642101093257,34,M.zk.
361.6282129140374,363.6280781711885,35,M.zk.
-417.32859762714844,-415.3287000317136,36,M.zk.
486.26127155587466,488.2611937284052,37,M.zk.
-561.903000290444,-559.9030594393207,38,M.zk.
653.9675371198366,655.9674921666904,39,M.zk.
-756.44229990399,-754.4423340683811,40,M.zk.
879.6331006864439,881.6330747215065,41,M.zk.
-1018.2143718699349,-1016.2143916032874,42,M.zk.
1183.288690313143,1185.288675315795,43,M.zk.
-1370.4548663657915,-1368.454877763776,44,M.zk.
1591.8876559263826,1593.887647263915,45,M.zk.
-1844.4296725586346,-1842.4296791421102,46,M.zk.
2141.698426488153,2143.698421484711,47,M.zk.
-2482.2101699229534,-2480.2101737255693,48,M.zk.
2881.523800761137,2883.523797871149,49,M.zk.
-3340.4076061085298,-3338.407608304921,50,M.zk.
3877.03282519443,3879.0328235251723,51,M.zk.
-4495.198075623051,-4493.198076891687,52,M.zk.
5216.589768940628,5218.589767976466,53,M.zk.
-6049.084131045533,-6047.084131778296,54,M.zk.
7019.097592716271,7021.097592159371,55,M.zk.
-8139.99320701625,-8137.993207439493,56,M.zk.
9444.552120545162,9446.552120223496,57,M.zk.
-10953.520459523588,-10951.520459768053,58,M.zk.
12708.243733282048,12710.243733096257,59,M.zk.
-14739.402730428817,-14737.402730570018,60,M.zk.
17099.867167432978,17101.867167325665,61,M.zk.
-19833.68591411923,-19831.685914200792,62,M.zk.
