x1,x2,iter_number,step
0.0,0.0,0,0.05
1.7000000000000002,1.9000000000000001,1,0.05
5.1000000000000005,5.7,2,0.05
5.200592307692308,5.981838461538461,3,0.05
23.11762348219608,61.961187333806166,4,0.05
19.93298639164185,59.128695021983944,5,0.05
-482.66285436211405,-395.40712939011854,6,0.05
-517.0858853850874,-433.31018847444557,7,0.05
-4253.944499261412,-4597.034647578332,8,0.05
-3864.423240304943,-4220.722358250867,9,0.05
42272.85498690335,40521.05435022403,10,0.05
46191.07675208483,44466.15235562556,11,0.05
360662.88853180024,361526.5469149003,12,0.05
325031.1102395349,326110.6643976426,13,0.05
-2981969.391664425,-2962907.4640895715,14,0.05
-3301030.974013455,-3281934.8598766727,15,0.05
-23057677.836436827,-23038084.103277046,16,0.05
-20538574.380766254,-20520878.87107725,17,0.05
171139458.625459,171026390.8622165,18,0.05
191399376.75113252,191283323.76225907,19,0.05
1207793044.25758,1207515847.8779535,20,0.05
1064761660.5429525,1064491443.0816338,21,0.05
-8281764429.43743,-8281603915.957341,22,0.05
-9338173023.058142,-9337980960.686657,23,0.05
-54474676064.21659,-54472929489.240875,24,0.05
-47635298526.63671,-47633517262.098694,25,0.05
352823472348.70715,352826861432.6784,26,0.05
400284045780.29724,400287275164.66833,27,0.05
2207319223897.6753,2207314965404.1206,28,0.05
1918884750987.748,1918879871942.5952,29,0.05
-13750229714379.127,-13750263604815.95,30,0.05
-15667566832934.973,-15667600587887.082,31,0.05
-83166735201039.78,-83166759922787.39,32,0.05
-72011626388099.12,-72011647340135.44,33,0.05
505077517849861.5,505077669094593.44,34,0.05
577166581549584.4,577166737061368.2,35,0.05
2988963874501636.0,2988964184553202.0,36,0.05
2581392395075286.0,2581392696744468.5,37,0.05
-1.786375390035527e+16,-1.786375399485388e+16,38,0.05
-2.04510065470546e+16,-2.045100667683567e+16,39,0.05
-1.042796414051943e+17,-1.0427964288794758e+17,40,0.05
-8.991504388702605e+16,-8.991504542202688e+16,41,0.05
6.171203637294538e+17,6.171203601124293e+17,42,0.05
7.073059850692127e+17,7.073059815784141e+17,43,0.05
3.5723809166294446e+18,3.572380918287733e+18,44,0.05
3.077242746799423e+18,3.0772427490609807e+18,45,0.05
-2.101519056498976e+19,-2.1015190537457422e+19,46,0.05
-2.410307590788666e+19,-2.4103075880246542e+19,47,0.05
-1.2103793171981877e+20,-1.210379316908882e+20,48,0.05
-1.0419972468365595e+20,-1.0419972465742476e+20,49,0.05
7.094796705619336e+20,7.09479670472292e+20,50,0.05
8.140679082414624e+20,8.140679081476584e+20,51,0.05
4.073897487002633e+21,4.0738974867626493e+21,52,0.05
3.5059051966175935e+21,3.5059051963796056e+21,53,0.05
-2.382866850278933e+22,-2.3828668502920143e+22,54,0.05
-2.7348210945535785e+22,-2.734821094564137e+22,55,0.05
-1.3657917083409585e+23,-1.3657917083325174e+23,56,0.05
-1.1751200121753708e+23,-1.175120012166342e+23,57,0.05
7.978517034762786e+23,7.978517034795401e+23,58,0.05
9.158320704021469e+23,9.158320704053496e+23,59,0.05
4.568149859993857e+24,4.568149859994556e+24,60,0.05
3.929916077435599e+24,3.9299160774358505e+24,61,0.05
-2.666556129738479e+25,-2.6665561297403187e+25,62,0.05
-3.0611364326186943e+25,-3.0611364326205613e+25,63,0.05
-1.525781473220435e+26,-1.5257814732207047e+26,64,0.05
-1.3125104869648941e+26,-1.3125104869651494e+26,65,0.05
8.902436422372486e+26,8.902436422372853e+26,66,0.05
1.02202970464213e+27,1.0220297046421702e+27,67,0.05
5.091980562118913e+27,5.091980562119074e+27,68,0.05
4.3800387018711183e+27,4.380038701871282e+27,69,0.05
-2.970219687614269e+28,-2.9702196876142456e+28,70,0.05
-3.410017711019453e+28,-3.410017711019431e+28,71,0.05
-1.69851559641007e+29,-1.6985155964100737e+29,72,0.05
-1.4609971546475784e+29,-1.4609971546475828e+29,73,0.05
9.906118667047782e+29,9.906118667047755e+29,74,0.05
1.1373117598173675e+30,1.1373117598173648e+30,75,0.05
5.664051428908133e+30,5.664051428908133e+30,76,0.05
4.871921577430552e+30,4.8719215774305526e+30,77,0.05
-3.3030949267254537e+31,-3.3030949267254505e+31,78,0.05
-3.7922918683686738e+31,-3.7922918683686706e+31,79,0.05
-1.888473228636625e+32,-1.888473228636624e+32,80,0.05
-1.6243512762430996e+32,-1.624351276243099e+32,81,0.05
1.1012374682730048e+33,1.101237468273005e+33,82,0.05
1.2643416824310235e+33,1.2643416824310235e+33,83,0.05
6.295797113528952e+33,6.295797113528951e+33,84,0.05
5.415237304905976e+33,5.415237304905974e+33,85,0.05
-3.6711898860903334e+34,-3.671189886090334e+34,86,0.05
-4.214945527315014e+34,-4.214945527315014e+34,87,0.05
-2.0987695296917185e+35,-2.0987695296917185e+35,88,0.05
-1.805219966622419e+35,-1.805219966622419e+35,89,0.05
1.2238060200025604e+36,1.2238060200025604e+36,90,0.05
1.405072305157105e+36,1.405072305157105e+36,91,0.05
6.996220469645617e+36,6.996220469645617e+36,92,0.05
6.017665491849703e+36,6.017665491849703e+36,93,0.05
-4.0794951546168e+37,-4.0794951546168e+37,94,0.05
-4.683743287651116e+37,-4.683743287651116e+37,95,0.05
-2.3321323061438584e+38,-2.3321323061438584e+38,96,0.05
-2.005936842325376e+38,-2.005936842325376e+38,97,0.05
1.3598569447847276e+39,1.3598569447847276e+39,98,0.05
1.561277944593269e+39,1.561277944593269e+39,99,0.05
7.773874782271739e+39,7.773874782271739e+39,100,0.05
6.686538099840499e+39,6.686538099840499e+39,101,0.05
-4.532897172646899e+40,-4.532897172646899e+40,102,0.05
-5.204308934071329e+40,-5.204308934071329e+40,103,0.05
-2.591306228234973e+41,-2.591306228234973e+41,104,0.05
-2.228857749104499e+41,-2.228857749104499e+41,105,0.05
1.510970736447883e+42,1.510970736447883e+42,106,0.05
1.7347758725570908e+42,1.7347758725570908e+42,107,0.05
8.637699082669116e+42,8.637699082669116e+42,108,0.05
7.429534138343358e+42,7.429534138343358e+42,109,0.05
-5.036568980417363e+43,-5.036568980417363e+43,110,0.05
-5.782587012282636e+43,-5.782587012282636e+43,111,0.05
-2.879229597778229e+44,-2.879229597778229e+44,112,0.05
-2.476508091096116e+44,-2.476508091096116e+44,113,0.05
1.678852960106757e+45,1.678852960106757e+45,114,0.05
1.9275253224290718e+45,1.9275253224290718e+45,115,0.05
9.597406147578633e+45,9.597406147578633e+45,116,0.05
8.255004073727765e+45,8.255004073727765e+45,117,0.05
-5.596158770646746e+46,-5.596158770646746e+46,118,0.05
-6.425064375949093e+46,-6.425064375949093e+46,119,0.05
-3.1991239278731097e+47,-3.1991239278731097e+47,120,0.05
-2.751658040770217e+47,-2.751658040770217e+47,121,0.05
1.8653790471716518e+48,1.8653790471716518e+48,122,0.05
2.1416799190174813e+48,2.1416799190174813e+48,123,0.05
1.0663702649227717e+49,1.0663702649227717e+49,124,0.05
9.172155556611052e+48,9.172155556611052e+48,125,0.05
-6.217903585821187e+49,-6.217903585821187e+49,126,0.05
-7.138902696718196e+49,-7.138902696718196e+49,127,0.05
-3.554551855092128e+50,-3.554551855092128e+50,128,0.05
-3.0573716351364652e+50,-3.0573716351364652e+50,129,0.05
2.0726251712215658e+51,2.0726251712215658e+51,130,0.05
2.3796235165187693e+51,2.3796235165187693e+51,131,0.05
1.184845169638047e+52,1.184845169638047e+52,132,0.05
1.0191191817287675e+52,1.0191191817287675e+52,133,0.05
-6.908718393890794e+52,-6.908718393890794e+52,134,0.05
-7.932041500045029e+52,-7.932041500045029e+52,135,0.05
-3.949465308512702e+53,-3.949465308512702e+53,136,0.05
-3.397047929272509e+53,-3.397047929272509e+53,137,0.05
2.3028952115190533e+54,2.3028952115190533e+54,138,0.05
2.644001306874725e+54,2.644001306874725e+54,139,0.05
1.316482155122491e+55,1.316482155122491e+55,140,0.05
1.1323439033488036e+55,1.1323439033488036e+55,141,0.05
-7.676280589989987e+55,-7.676280589989987e+55,142,0.05
-8.813295480886788e+55,-8.813295480886788e+55,143,0.05
-4.388252747550867e+56,-4.388252747550867e+56,144,0.05
-3.7744615189757016e+56,-3.7744615189757016e+56,145,0.05
2.5587478607483615e+57,2.5587478607483615e+57,146,0.05
2.9377510013504147e+57,2.9377510013504147e+57,147,0.05
1.4627438488660705e+58,1.4627438488660705e+58,148,0.05
1.25814775962979e+58,1.25814775962979e+58,149,0.05
-8.529118267762447e+58,-8.529118267762447e+58,150,0.05
-9.792455965341322e+58,-9.792455965341322e+58,151,0.05
-4.875789208561431e+59,-4.875789208561431e+59,152,0.05
-4.1938055453600455e+59,-4.1938055453600455e+59,153,0.05
2.843025637364192e+60,2.843025637364192e+60,154,0.05
3.264136162968638e+60,3.264136162968638e+60,155,0.05
1.6252551831878244e+61,1.6252551831878244e+61,156,0.05
1.3979283979390753e+61,1.3979283979390753e+61,157,0.05
-9.476706116359379e+61,-9.476706116359379e+61,158,0.05
-1.088040105680728e+62,-1.088040105680728e+62,159,0.05
-5.417490964608854e+62,-5.417490964608854e+62,160,0.05
-4.659738693014843e+62,-4.659738693014843e+62,161,0.05
3.1588866914363327e+63,3.1588866914363327e+63,162,0.05
3.6267827322897624e+63,3.6267827322897624e+63,163,0.05
1.8058215457514564e+64,1.8058215457514564e+64,164,0.05
1.5532386824736616e+64,1.5532386824736616e+64,165,0.05
-1.0529571124816291e+65,-1.0529571124816291e+65,166,0.05
-1.2089217014760945e+65,-1.2089217014760945e+65,167,0.05
-6.019375890311894e+65,-6.019375890311894e+65,168,0.05
-5.177437105214875e+65,-5.177437105214875e+65,169,0.05
3.5098399772871186e+66,3.5098399772871186e+66,170,0.05
