,step_length,k1,k2,Q,evaluations
0,0.0,0.0,0.0,9859.73479668827,0
1,1.4901161193847656e-08,1.4901161193847656e-08,0.0,9859.706967221835,1
2,0.0,0.0,1.4901161193847656e-08,9859.73479668827,2
3,1.0100000000000002,1.0100000000000002,0.0,181.90880537639967,3
4,1.0100000149011614,1.0100000149011614,0.0,181.9088055959116,4
5,1.0100000000000002,1.0100000000000002,1.4901161193847656e-08,181.9088017080782,5
6,1.020464964855402,1.020464964855402,79.41185243445429,5038.1332153368785,6
7,1.0204649797565633,1.0204649797565633,79.41185243445429,5038.133200692534,7
8,1.020464964855402,1.020464964855402,79.41185244935545,5038.133216075064,8
9,1.012520034116078,1.012520034116078,19.122909643835463,1342.2934181471464,9
10,1.0125200490172392,1.0125200490172392,19.122909643835463,1342.2934097091158,10
11,1.012520034116078,1.012520034116078,19.122909658736624,1342.2934191651543,11
12,1.0106274309602155,1.0106274309602155,4.7611679077647935,366.7868133710228,12
13,1.0106274458613766,1.0106274458613766,4.7611679077647935,366.7868110361369,13
14,1.0106274309602155,1.0106274309602155,4.761167922665955,366.7868143524143,14
15,1.0101783621280853,1.0101783621280853,1.3534748746026715,159.99914950884667,15
16,1.0101783770292465,1.0101783770292465,1.3534748746026715,159.999148727303,16
17,1.0101783621280853,1.0101783621280853,1.3534748895038327,159.99915019217062,17
18,1.0101730183534623,1.0101730183534623,1.1409741643080813,150.8854815692719,18
19,1.0101730332546235,1.0101730332546235,1.1409741643080813,150.88548089868053,19
20,1.0101730183534623,1.0101730183534623,1.1409741792092425,150.8854821584087,20
21,1.0101610108624481,1.0101610108624481,0.6753223857794375,137.87037294259508,21
22,1.0101610257636093,1.0101610257636093,0.6753223857794375,137.87037254076398,22
23,1.0101610108624481,1.0101610108624481,0.6753224006805987,137.87037311808822,23
24,1.0101663637483123,1.0101663637483123,0.4777793438815896,137.8189884453921,24
25,1.0101663786494735,1.0101663786494735,0.4777793438815896,137.81898817773757,25
26,1.0101663637483123,1.0101663637483123,0.4777793587827508,137.8189882429777,26
27,1.0101634967720163,1.0101634967720163,0.583582313139468,137.23272530838477,27
28,1.0101635116731775,1.0101635116731775,0.583582313139468,137.23272496659845,28
29,1.0101634967720163,1.0101634967720163,0.5835823280406292,137.23272533394388,29
30,1.0101759567386703,1.0101759567386703,0.5679427992010726,137.22098186300778,30
31,1.0101759716398315,1.0101759716398315,0.5679427992010726,137.22098153184166,31
32,1.0101759567386703,1.0101759567386703,0.5679428141022338,137.2209818590815,32
33,1.0101866041631244,1.0101866041631244,0.5698892547489806,137.22047489977408,33
34,1.0101866190642856,1.0101866190642856,0.5698892547489806,137.2204745673013,34
35,1.0101866041631244,1.0101866041631244,0.5698892696501417,137.2204748995717,35
36,1.0102115378944179,1.0102115378944179,0.5709543802101478,137.21997592191028,36
37,1.010211552795579,1.010211552795579,0.5709543802101478,137.21997558875722,37
