x1*,x2*,r*,y*,Penalty Value
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
0.9993370225124149,0.9999971291653752,1.4137428135636874,-349838.4058749887,4.39547390736158e-07
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
0.9999999116628073,0.9992080215595655,1.413653597482284,-11321522.089704907,6.272298579165995e-07
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
0.9996513779408952,1.9950432621291576,2.2314794409059835,-2868.081980360189,1.2153734009446876e-07
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
0.9990462890570062,1.202763662240094,1.563564490158234,-1047.8961826303923,9.095645627861055e-07
inf,inf,inf,nan,inf
0.9990671371078065,1.2349684495975886,1.5884842510866326,-1071.3394585258543,8.702331756316589e-07
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
0.9999999999999998,1.447760717335127,1.7595485485370164,-4503599627370495.5,4.930380657631324e-32
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
0.9999999999999997,1.2098256382457282,1.5696108036569711,-3002399751580330.0,1.1093356479670479e-31
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
0.999424514689647,1.0000003207723283,1.4138069182555997,-1736.965203255342,3.3118334243209764e-07
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
inf,inf,inf,nan,inf
