t,x,y
0.0,0.0,100.0
0.01,0.09989435058589533,99.99938472593836
0.02,0.19958004487774086,99.99753922074393
0.03,0.29906103005053886,99.9944639039211
0.04,0.3983412333168467,99.99015912076663
0.05,0.49742456379712335,99.98462514272073
0.06,0.5963149125197296,99.97786216736701
0.07,0.6950161524209287,99.96987031843246
0.08,0.7935321383448849,99.96064964578753
0.09,0.8918667070436646,99.95020012544606
0.1,0.9900236863539994,99.93852163898354
0.11,1.0880080801200058,99.92561131362756
0.12,1.1858243443816823,99.91146738696135
0.13,1.2834760132318146,99.89609005849958
0.14,1.380966617749498,99.87947943106767
0.15,1.4782996860001374,99.86163551080178
0.16,1.5754787430354484,99.84255820714885
0.17,1.6725073108934556,99.82224733286665
0.18,1.7693889085984937,99.80070260402366
0.19,1.8661270521612074,99.7779236399991
0.2,1.9627252545785505,99.75390996348304
0.21,2.059187025833787,99.72866100047628
0.22,2.1555158728964914,99.70217608029036
0.23,2.251715299722546,99.67445443554764
0.24,2.347788807254145,99.64549520218122
0.25,2.4437398934197914,99.615297419435
0.26,2.539572053134299,99.58386002986359
0.27,2.63528877829879,99.55118187933242
0.28,2.7308935578006963,99.51726171701767
0.29,2.82638987751376,99.48209819540631
0.3,2.921781220298035,99.44568987029605
0.31,3.0170710659998825,99.40803520079538
0.32,3.112262891451974,99.36913254932358
0.33,3.20736017047329,99.32898018161066
0.34,3.3023663738691242,99.28757626669743
0.35000000000000003,3.397284969431076,99.24491887693546
0.36,3.4921194219370557,99.20100598798709
0.37,3.586873193151286,99.15583547882542
0.38,3.6815497418242966,99.10940513173435
0.39,3.776152523692927,99.06171263230848
0.4,3.870684991480328,99.01275556945329
0.41000000000000003,3.9651505948959596,98.96253143538492
0.42,4.05955278063559,98.91103762563033
0.43,4.153894992381301,98.85827143902726
0.44,4.248180670801481,98.80423007772418
0.45,4.342413253550828,98.7489106471804
0.46,4.436596175270351,98.69231015616589
0.47000000000000003,4.5307328675873695,98.6344255167615
0.48,4.624826759115511,98.57525354435876
0.49,4.718881275454716,98.51479095766005
0.5,4.812899839191228,98.45303437867845
0.51,4.906885869897612,98.38998033273786
0.52,5.000842784132728,98.3256252484729
0.53,5.0947739954417575,98.25996545782903
0.54,5.188682914356187,98.1929971960624
0.55,5.2825729483938115,98.12471660173996
0.56,5.376447502058741,98.05511971673947
0.5700000000000001,5.47030997684139,97.9842024862494
0.58,5.564163771218485,97.91196075876903
0.59,5.658012280653064,97.83839028610836
0.6,5.75185889759447,97.76348672338823
0.61,5.8457070114783605,97.68724562904019
0.62,5.939560008726701,97.60966246480659
0.63,6.033421272747767,97.53073259574055
0.64,6.127294183936142,97.45045129020592
0.65,6.221182119672724,97.36881371987737
0.66,6.315088454324713,97.2858149597403
0.67,6.409016559245629,97.20144998809093
0.68,6.502969802775291,97.11571368653618
0.6900000000000001,6.596951550239838,97.0286008399938
0.7000000000000001,6.69096516395171,96.94010613669228
0.71,6.7850140032096595,96.85022416817088
0.72,6.8791014242987565,96.75894942927964
0.73,6.973230780490369,96.66627631817936
0.74,7.067405422042181,96.57219913634161
0.75,7.161628696198186,96.47671208854874
0.76,7.255903947188685,96.37980928289385
0.77,7.350234516230293,96.28148473078082
0.78,7.4446237415259295,96.18173234692429
0.79,7.5390749582648295,96.08054594934971
0.8,7.633591498622533,95.97791925939326
0.81,7.72817669176089,95.87384590170187
0.8200000000000001,7.822833863828064,95.7683194042333
0.8300000000000001,7.917566337958528,95.66133319825602
0.84,8.012377434273057,95.55288061834932
0.85,8.107270469878749,95.44295490240322
0.86,8.202248758868999,95.3315491916185
0.87,8.297315612323521,95.21865653050679
0.88,8.392474338308332,95.10426986689039
0.89,8.487728241875764,94.98838205190242
0.9,8.583080625064456,94.87098583998676
0.91,8.678534786899357,94.75207388889808
0.92,8.774094023391726,94.63163875970177
0.93,8.869761627539136,94.50967291677404
0.9400000000000001,8.965540889325462,94.38616872780185
0.9500000000000001,9.061435095720896,94.2611184637829
0.96,9.157447530681928,94.13451429902572
0.97,9.253581475151375,94.00634831114957
0.98,9.349840207058355,93.87661248108446
0.99,9.446227001318288,93.74529869307122
1.0,9.542746289961082,93.61236922687071
1.01,9.639402807763894,93.4777790484179
1.02,9.736199642384815,93.34152553172711
1.03,9.83313990254454,93.20360581233128
1.04,9.930226728070773,93.0640165310012
1.05,10.027463289898234,92.9227538337456
1.06,10.124852790068669,92.77981337181106
1.07,10.22239846173083,92.63519030168212
1.08,10.32010356914049,92.48887928508114
1.09,10.417971407660442,92.34087448896845
1.1,10.516005303760492,92.19116958554227
1.11,10.614208615017466,92.03975775223867
1.12,10.712584730115202,91.88663167173166
1.1300000000000001,10.811137068844559,91.73178353193316
1.1400000000000001,10.909869082103413,91.57520502599294
1.1500000000000001,11.008784251896651,91.4168873522987
1.16,11.107886091336185,91.25682121447606
1.17,11.207178144640942,91.09499682138848
1.18,11.306663987136861,90.93140388713738
1.19,11.406347225256905,90.76603163106203
1.2,11.506231496541044,90.59886877773964
1.21,11.606320469636275,90.4299035569853
1.22,11.706617844296606,90.25912370385198
1.23,11.807127351383063,90.08651645863058
1.24,11.90785275286369,89.91206856684988
1.25,12.008797841813548,89.73576627927658
1.26,12.109966442414713,89.55759535191524
1.27,12.211362409956278,89.37754104600836
1.28,12.312989630834357,89.1955881280363
1.29,12.414852022552074,89.01172086971738
1.3,12.516953533719576,88.82592304800774
1.31,12.61929814405402,88.63817794510148
1.32,12.721889864379591,88.44846834843057
1.33,12.824732736627478,88.25677655066488
1.34,12.927830833835898,88.06308434971218
