x1_0,x2_0,x1,x2,y,f_calls,g_calls
4.514483221439868,1.0586229126102413,1.0000000163866098,2.9999999909481465,5.65651638698201e-16,3366,374
-4.834315867001012,-4.308862593476834,0.9999999886257235,2.9999999857512925,2.9585490757176087e-15,3519,391
2.1496658467574186,7.983229062918941,1.0000000041477948,3.0000000179786275,2.2987494882078593e-15,3411,379
2.1600093576221706,6.576231939350322,1.0000000056933187,3.0000000175521278,2.50189419034285e-15,3357,373
7.507682065748362,-0.8935278578649957,1.0000000155761737,2.99999999068082,4.860641821265598e-16,3483,387
-7.459775627323831,-0.32227482868437285,0.999999982639295,2.9999999931823513,2.6862455269830818e-15,3510,390
-7.023359973582918,7.8614105152751925,0.9999999843582151,3.0000000094774752,4.864828336335101e-16,3519,391
5.930511474482076,-9.475092584614146,1.000000006712529,2.9999999830160813,7.555173167723115e-16,3582,398
-0.5763549216480648,-1.8654620207827186,0.9999999943126683,2.999999982446348,2.5010497148951824e-15,3411,379
-4.614946818991214,8.137983376838996,0.9999999865605665,3.000000012297814,3.370677698565135e-16,3483,387
6.79000471088289,5.096904139922252,1.000000017014489,3.00000000616196,2.4760537170590735e-15,3447,383
5.291343533220591,3.498346299494255,1.0000000180579391,3.0000000020970354,1.9553787247306766e-15,3384,376
-1.321579148392848,7.735794822404166,0.9999999920429682,3.0000000162316063,6.006537445408089e-16,3420,380
7.470036296214431,1.6364401614230282,1.0000000180621875,2.9999999961933974,1.153619644084658e-15,3456,384
2.582261454318635,0.9586978164917408,1.0000000111203147,2.999999985653494,3.711168867408458e-16,3294,366
8.048469497472517,-6.360288088613637,1.000000011192272,2.9999999851367893,4.0008513969300516e-16,3555,395
6.565274106627125,-1.6892704032449775,1.0000000140215972,2.9999999881854764,3.556728520882923e-16,3474,386
7.285858570482414,2.1947758578703933,1.000000018471609,2.9999999976337697,1.3843322653674598e-15,3447,383
-0.612347729421236,1.186779989956836,0.9999999874438898,2.9999999858798683,3.2035215627700213e-15,3276,364
-3.1109426702227,-9.38562208745067,0.9999999941085707,2.9999999822505026,2.5853272915368843e-15,3573,397
